W - stands for wholesale prices,,,,,,,,,,,,
R - stands for retail prices,,,,,,,,,,,,
M - stands for profit margin,,,,,,,,,,,,
,,,,,,,,,,,,
TLD,Type,Type,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y
.com.au,Registration,W:,12.99,24.65,37.99,49.99,61.99,,,,,
,,R:,29.99,41.15,88.99,117.99,149.99,,,,,
,,M:,17,16.5,51,68,88,,,,,
,Renewal,W:,12.99,24.65,37.99,49.99,61.99,,,,,
,,R:,29.99,41.15,88.99,117.99,149.99,,,,,
,,M:,17,16.5,51,68,88,,,,,
.com.az,Registration,W:,567.15,1134.29,1701.44,2268.58,2835.73,3402.87,3970.02,4537.17,5104.31,5671.46
,,R:,708.93,1417.86,2126.8,2835.73,3544.66,4253.59,4962.52,5671.46,6380.39,7089.32
,,M:,141.78,283.57,425.36,567.15,708.93,850.72,992.5,1134.29,1276.08,1417.86
,Renewal,W:,567.15,,,,,,,,,
,,R:,708.93,,,,,,,,,
,,M:,141.78,,,,,,,,,
